time,open,high,low,close,RSI,Histogram,MACD,Signal
1314711000,120.83,122.42999,119.25999,121.67999,51.60365115297481,0.9887032524669275,-2.0572806288158745,-3.045983881282802
1314797400,122.46001,123.50999,121.3,122.22,52.54192290990942,1.145110371128164,-1.614595917372597,-2.759706288500761
1314883800,122.28999,123.39999,120.78,120.94,50.0642900191999,1.126587850900008,-1.3514714748757513,-2.4780593257757593
1314970200,118.42,120.8726,117.42999,117.85001,44.597041320050415,0.8813167481528006,-1.3764133905847586,-2.2577301387375592
1315315800,114.39,117.16,114.38,116.99001,43.18357513436499,0.6470855962256241,-1.448873143455529,-2.095958739681153
1315402200,118.75999,120.34,118.36,120.28999,49.763169864193046,0.6960582217881566,-1.2258859624459575,-1.921944184234114
1315488600,119.57001,120.94,118.77,119.03999,47.51840683210882,0.62801471105426,-1.136925795416289,-1.764940506470549
1315575000,117.67999,119.05701,115.28,115.92,42.3797593709602,0.36942494061509934,-1.303159330701675,-1.6725842713167742
1315834200,114.47,116.75999,114.05,116.67,43.94890692222983,0.2510918957839936,-1.3587194015867823,-1.6098112973707759
1315920600,117.05,118.17999,116.22,117.74001,46.19994425615602,0.2467222644629432,-1.3014084667920969,-1.54813073125504
1316007000,118.34,120.8,116.72,119.37,49.52541517147195,0.34918604162325906,-1.1116481792259663,-1.4608342208492253
1316093400,120.64999,121.47,119.4034,121.42999,53.442183529742344,0.539885338820173,-0.7859775473240092,-1.3258628861441821
1316179800,121.28999,121.97,120.32001,121.521,53.613443534392786,0.6490059666967818,-0.5146054277732048,-1.1636113944699866
1316439000,119.53,120.92999,118.72,120.31,50.928918176255046,0.6167039291125702,-0.39273148307927386,-1.009435412191844
1316525400,120.82001,121.99001,120.00999,120.17,50.61339746313077,0.5643973557644664,-0.3039387174862611,-0.8683360732507275
1316611800,120.23,120.60001,116.44,116.63,43.30731467489757,0.28402789123954053,-0.5133012092013018,-0.7973291004408424
1316698200,113.25,114.21001,111.3,112.86,37.15596500238682,-0.13991496423874872,-0.9722228057392783,-0.8323078415005296
1316784600,112.11,114.16,112.02,113.53999,38.84329148227914,-0.34731619435393113,-1.2664530844429436,-0.9191368900890124
1317043800,114.61,116.39999,112.98,116.24001,45.141644298911494,-0.27841581429964446,-1.267156657963568,-0.9887408436639236
