time,open,high,low,close,Volume,Volume MA
1130247000,2.014283,2.030355,1.988927,2.00357,466352728,911026579.8
1130333400,2.009998,2.055712,1.997141,2.036784,633034040,886343860.8
1130419800,2.035355,2.036069,1.978927,1.978927,421236368,875544649
1130506200,2.001426,2.015355,1.934641,1.945355,770089024,887456645
1130769000,1.971784,2.070712,1.955355,2.056784,944363888,909250186.8
1130855400,2.044284,2.076426,2.031069,2.053569,751438764,919747374.8
1130941800,2.061427,2.142855,2.057141,2.141069,864022176,932402760.4
1131028200,2.145355,2.225712,2.145355,2.208923,884382452,938704334.8
1131114600,2.155355,2.187141,2.129284,2.183926,878330412,948712687.2
1131373800,2.173212,2.202498,2.147855,2.151069,638831164,955263461.8
1131460200,2.141069,2.156426,2.110713,2.139283,473765400,916491307.8
1131546600,2.142855,2.18607,2.142855,2.146784,552927976,809211171.8
1131633000,2.16714,2.185712,2.107498,2.184997,667966424,749301147
1131719400,2.197855,2.218212,2.190712,2.197855,425490272,718791580.2
1131978600,2.197855,2.213569,2.175355,2.194641,369956276,706438963.2
1132065000,2.199998,2.252855,2.194998,2.224283,540682780,702992719.8
1132151400,2.255355,2.323569,2.253212,2.319641,784516880,691765201.4
1132237800,2.342855,2.352855,2.294641,2.304283,676206052,657657785
1132324200,2.332498,2.336783,2.298926,2.305712,524963788,644065675.4
1132583400,2.309997,2.328212,2.275712,2.319998,511710588,639013372.6
1132669800,2.317498,2.384283,2.304283,2.375712,540435932,642717532.8
1132756200,2.389283,2.427855,2.381783,2.396783,485851556,635358408.6
1132929000,2.41964,2.483569,2.410712,2.476426,395012576,634047219
1133188200,2.529284,2.538212,2.466784,2.487855,1018518712,646468703.4
1133274600,2.498926,2.510712,2.405355,2.432141,891433528,643822185.4
1133361000,2.443926,2.458926,2.411426,2.422141,595673488,636033921.6
1133447400,2.497497,2.561783,2.457498,2.557144,812892780,633477451.8
1133533800,2.581069,2.597855,2.524997,2.593926,895762108,634046434.6
1133793000,2.566783,2.590355,2.553212,2.564998,584504840,619355156
1133879400,2.640354,2.672497,2.619641,2.64464,857029784,630265087
1133965800,2.651069,2.659283,2.611426,2.641069,679479140,640550774
1134052200,2.614997,2.648926,2.592855,2.645712,790480212,652428385.8
1134138600,2.652497,2.663926,2.619641,2.654658,555505320,646805330.6
1134397800,2.673926,2.691069,2.662854,2.675354,525349516,651798292.8
1134484200,2.674997,2.694998,2.650355,2.677854,493815660,657991262
1134570600,2.593212,2.617855,2.50964,2.571783,1450715944,703492920.2
1134657000,2.597497,2.602144,2.548212,2.577854,561245552,692329353.8
1134743400,2.576426,2.58214,2.537855,2.53964,671171868,692077644.6
1135002600,2.538926,2.592855,2.53714,2.549283,529467536,692302832
1135089000,2.558033,2.584997,2.539997,2.575355,479107804,690672692.8
1135175400,2.592855,2.628926,2.590711,2.624997,475734808,687437636.6
1135261800,2.64214,2.660355,2.628569,2.643569,370669632,681678540.4
1135348200,2.649997,2.65214,2.617855,2.619641,229857044,673420763.8
1135693800,2.642855,2.684997,2.641069,2.651069,590897356,652039696
1135780200,2.65964,2.669997,2.618569,2.627498,398739968,627405018
1135866600,2.634997,2.636426,2.550712,2.551783,490257640,622134225.6
1135953000,2.527855,2.586783,2.51214,2.567497,624340592,612706616.2
1136298600,2.584997,2.66964,2.580355,2.66964,807412836,608289152.6
1136385000,2.677141,2.713569,2.660712,2.677497,620903084,610109064.8
1136471400,2.672497,2.674997,2.633926,2.656426,449584744,589736812.8
1136557800,2.687497,2.739283,2.662497,2.724997,704558208,590990766.2
1136817000,2.745712,2.75714,2.704998,2.716069,675445344,585239022.8
1136903400,2.721783,2.92464,2.708212,2.887854,2280355432,671481528.4
1136989800,2.99714,3.028568,2.94964,2.996425,1494197076,719923906.4
1137076200,3.034997,3.085711,2.986426,3.01039,1280809088,759273577.8
1137162600,3.028568,3.071782,3.021426,3.056779,776614152,725568488.2
1137508200,3.05714,3.084997,2.995354,3.025358,836861700,739349295.6
1137594600,2.96714,3.001783,2.923212,2.946072,1213119356,766446670
1137681000,2.899282,2.916426,2.81214,2.822676,1696401632,824793374.8
1137767400,2.830354,2.858568,2.708212,2.717462,1138540720,857765020.6
1138026600,2.719283,2.841426,2.714279,2.773926,1059771488,886966854.6
1138113000,2.815354,2.836426,2.706069,2.715711,1142648436,925565794.8
1138199400,2.763926,2.767854,2.616069,2.649997,1276080892,977876987.2
1138285800,2.655355,2.693926,2.568926,2.583212,1182397724,1007452005.6
1138372200,2.605355,2.628569,2.539284,2.572497,954389688,1035234491.6
1138631400,2.541783,2.735712,2.531069,2.678569,1398402484,1080641733.8
1138717800,2.696426,2.726426,2.633926,2.696783,913543696,1095101889
1138804200,2.676783,2.730712,2.665712,2.693569,521343496,1080798422
1138890600,2.682141,2.691426,2.573212,2.574998,707594304,1085132983
1138977000,2.579998,2.59964,2.53714,2.565962,692163380,1097261914.8
1139236200,2.56964,2.58964,2.383569,2.403569,1652235508,1144645779.8
1139322600,2.436426,2.481426,2.381426,2.414284,1389235052,1180335265.2
1139409000,2.446069,2.46714,2.357141,2.457498,953266552,1113980821.2
1139495400,2.467498,2.472498,2.304641,2.319641,1150195004,1096780717.6
1139581800,2.331783,2.416783,2.246426,2.403926,1760477344,1120764130.4
1139841000,2.37964,2.383926,2.308569,2.311069,883632496,1126115047.6
1139927400,2.322141,2.432141,2.321426,2.41589,1161115464,1142327735.8
1140013800,2.398569,2.486426,2.383926,2.47214,1160041608,1139673848.4
1140100200,2.498212,2.536069,2.481426,2.520355,953943480,1102550940.8
1140186600,2.510712,2.531783,2.486069,2.510354,575999100,1074423859.8
1140532200,2.515712,2.528569,2.452854,2.46714,779768072,1060423689
1140618600,2.464283,2.55964,2.428569,2.547141,978504208,1052216477.6
1140705000,2.560712,2.60714,2.551069,2.562497,857507800,1031287823
1140791400,2.574283,2.603212,2.542855,2.552141,534784404,998907157
1141050600,2.571069,2.575712,2.523211,2.535355,791377556,990756550.4
1141137000,2.557497,2.585711,2.432141,2.446069,1267496304,984211241.4
1141223400,2.458569,2.481784,2.429283,2.467855,763879288,976728021
1141309800,2.463748,2.499641,2.452498,2.486069,625585584,981940125.4
1141396200,2.482497,2.496783,2.411783,2.418569,737815520,983451186.2
1141655400,2.417498,2.418569,2.319283,2.338569,913305360,994508285.2
1141741800,2.348569,2.389283,2.324283,2.368212,873009512,955546985.4
1141828200,2.367497,2.399998,2.333927,2.344998,653452556,918757860.6
1141914600,2.356426,2.373926,2.278926,2.283212,800268576,911107961.8
1142001000,2.287498,2.303212,2.230355,2.256783,1043397072,905768065.2
1142260200,2.323212,2.36714,2.313926,2.345712,861415260,860814961
1142346600,2.348926,2.404284,2.339283,2.404284,642424576,848754565
1142433000,2.418212,2.429997,2.339998,2.365355,892303996,835313991.6
1142519400,2.387498,2.389283,2.296426,2.296783,749967532,814810287.8
1142605800,2.312498,2.340712,2.289641,2.309283,813356908,807780959.2
1142865000,2.329283,2.337855,2.281069,2.285355,605577884,809259898.4
1142951400,2.296069,2.297855,2.192498,2.207498,1345365504,837539770
1143037800,2.219819,2.258926,2.188212,2.202498,1346442048,855936662
1143124200,2.207855,2.210712,2.128926,2.148569,1429538068,884538175.4
1143210600,2.151784,2.176426,2.108212,2.141427,1072222320,911410071.2
1143469800,2.15482,2.192141,2.121426,2.125355,1108848148,927283600.8
1143556200,2.129641,2.147855,2.080355,2.096784,1370438296,932430700.4
1143642600,2.113926,2.232855,2.059641,2.226069,2347494568,1011611464.4
1143729000,2.244998,2.260712,2.197498,2.241069,1391012268,1049882798.6
1143815400,2.258926,2.271783,2.222855,2.239998,816057456,1053794895.4
1144071000,2.273212,2.289998,2.236069,2.237497,816204400,1048939847.4
1144157400,2.217855,2.222141,2.180355,2.184641,932250404,1051901892
1144243800,2.311248,2.400355,2.291069,2.400355,2234944760,1130976502.2
1144330200,2.439105,2.573212,2.435712,2.544284,2664090664,1224167606.6
1144416600,2.533211,2.543212,2.445355,2.492497,1545384712,1249266988.6
1144675800,2.510354,2.533211,2.44464,2.452498,904056392,1251399045.2
1144762200,2.463926,2.474998,2.395355,2.428212,939501736,1266252903.2
1144848600,2.428926,2.434776,2.367855,2.382498,740434532,1258659430
1144935000,2.369283,2.408569,2.350355,2.37389,734907996,1257906453.2
1145280600,2.375354,2.38714,2.298212,2.314676,722317840,1253354499.8
1145367000,2.323033,2.374058,2.313926,2.364998,795048920,1262828051.6
1145453400,2.386427,2.392855,2.338212,2.34464,1092039172,1250161735
1145539800,2.482497,2.499998,2.364283,2.415355,1667396288,1266209447
1145626200,2.435355,2.451426,2.373926,2.394283,789220884,1234193587.8
1145885400,2.387498,2.389998,2.339283,2.348212,707146752,1215939809.4
1145971800,2.355712,2.378212,2.341426,2.363212,529097040,1186952254
1146058200,2.380354,2.438569,2.371426,2.433926,710961028,1153978390.6
1146144600,2.418926,2.494998,2.405355,2.47714,846019276,1078904626
1146231000,2.477676,2.546426,2.471426,2.513926,760156856,1047361855.4
1146490200,2.527497,2.554997,2.469998,2.485712,750594732,1044088719.2
1146576600,2.505354,2.570712,2.503926,2.557855,771957632,1041876380.8
1146663000,2.565355,2.56964,2.506426,2.540712,687294956,1029628608.4
1146749400,2.543569,2.603212,2.516426,2.540355,860484764,960905608.6
1146835800,2.566426,2.580355,2.541069,2.567497,563966704,855899410.6
1147095000,2.606783,2.635712,2.561426,2.567497,594934288,808376889.4
1147181400,2.565176,2.591426,2.52214,2.536783,531718736,789760006.6
1147267800,2.546069,2.547497,2.486069,2.521426,467486056,766159222.6
1147354200,2.52839,2.529997,2.412498,2.433926,812904428,769782717.4
1147440600,2.423212,2.453212,2.387855,2.417855,641951488,765134892
1147699800,2.406069,2.44214,2.39714,2.421069,529790096,755508504.8
1147786200,2.432141,2.437498,2.312498,2.320712,937185128,762615315.2
1147872600,2.310891,2.346426,2.288212,2.330712,754353008,745731007
1147959000,2.345712,2.366426,2.254283,2.256426,658695504,695295967.8
1148045400,2.259283,2.317141,2.24357,2.303926,986205336,705145190.4
1148304600,2.281069,2.285355,2.241783,2.263569,719063116,705741008.6
1148391000,2.316426,2.328212,2.249998,2.255355,694794484,714025880.8
1148477400,2.249641,2.273212,2.198569,2.262141,916243348,724289996.8
1148563800,2.294997,2.301783,2.260355,2.297498,463773420,705177704
1148650200,2.296783,2.305712,2.254998,2.269605,433015196,688820621
1148995800,2.260355,2.260712,2.18638,2.186426,563510192,679466394
1149082200,2.205534,2.206783,2.096069,2.134641,1281150464,704926035.6
1149168600,2.138034,2.224283,2.125712,2.220355,942734060,717697990.8
1149255000,2.249641,2.25357,2.174284,2.202141,685908844,708969194.8
1149514200,2.183926,2.183926,2.141784,2.142855,605915676,711066643.4
1149600600,2.150712,2.165355,2.103926,2.132963,726133460,717626602
1149687000,2.146427,2.15714,2.083927,2.091605,750790956,728580213
1149773400,2.088212,2.176069,2.041069,2.169997,1397519476,775081884
1149859800,2.184997,2.198569,2.110713,2.115713,775959620,773234643.6
1150119000,2.121069,2.133212,2.034284,2.035712,717983436,777036241
1150205400,2.057498,2.110713,2.048569,2.083212,1080943096,804593891
1150291800,2.081426,2.099284,2.024641,2.057498,878402988,801654784
1150378200,2.046427,2.13357,2.026784,2.120712,1190539684,823464117.8
1150464600,2.105534,2.113926,2.054273,2.055712,838298884,832444286.8
1150723800,2.065355,2.077855,2.035712,2.042855,721670032,819217521.6
1150810200,2.057498,2.083927,2.046069,2.052498,673024800,816915605.8
1150896600,2.062141,2.096784,2.046427,2.066427,863971100,825374436.6
1150983000,2.078569,2.133926,2.073927,2.127855,967439940,827934266.2
1151069400,2.132855,2.148926,2.097498,2.101069,660201684,837755679.4
1151328600,2.113212,2.114284,2.084641,2.106784,466533720,839431605.6
1151415000,2.111426,2.114998,2.049998,2.051069,550631524,838787672.2
1151501400,2.046069,2.046427,1.978927,2.000712,851068240,817283561
1151587800,2.02714,2.110355,2.013927,2.106069,875251304,813909423.2
1151674200,2.057498,2.062498,2.017855,2.045355,740633444,816645653.2
1151933400,2.054284,2.077855,2.047855,2.069641,194772896,796088514.2
1152106200,2.041069,2.057141,2.019998,2.035766,518846340,785724158.2
1152192600,2.038927,2.049998,1.986069,1.991784,633365112,779852866
1152279000,2.016784,2.019641,1.952498,1.978569,799386908,749946237.6
1152538200,1.989284,2.017498,1.946427,1.964284,531200848,737708299
1152624600,1.968212,1.999641,1.947498,1.987498,825357944,743077024.4
1152711000,1.970355,1.972856,1.889912,1.891427,927328220,735396280.6
1152797400,1.858212,1.932855,1.83607,1.86607,1249906912,753971476.8
1152883800,1.877677,1.888927,1.791427,1.809641,993036000,744096292.6
1153143000,1.846962,1.896784,1.844641,1.870355,1024655424,753414119.6
1153229400,1.898391,1.923213,1.851784,1.889283,1001161384,767388687.2
1153315800,1.891427,1.967141,1.869998,1.932141,1403749816,803924938
1153402200,2.178034,2.199641,2.132855,2.160712,1972512820,859352024
1153488600,2.136427,2.183926,2.129998,2.168569,892081788,855584116.4
1153747800,2.187855,2.217855,2.158212,2.193569,722988944,858723479.4
1153834200,2.206426,2.217498,2.170712,2.211712,589283660,864860976.4
1153920600,2.214284,2.308569,2.202855,2.281069,898630208,882260910.6
1154007000,2.303748,2.322141,2.244998,2.264283,735090780,876462037.6
1154093400,2.283569,2.345712,2.267855,2.342498,691638320,867281388.4
1154352600,2.386783,2.451069,2.36714,2.427141,893106812,874905056.8
1154439000,2.400712,2.426069,2.354998,2.399283,711826116,900757717.8
1154525400,2.41464,2.452854,2.411069,2.434283,550943780,902362589.8
1154611800,2.425355,2.499998,2.421769,2.485355,841403080,912764488.2
1154698200,2.393926,2.450355,2.319998,2.439283,1853197756,965455030.6
1154957400,2.418569,2.485712,2.368212,2.400355,1256100520,1001700014.2
1155043800,2.396069,2.396855,2.303926,2.313569,997912484,1010327741.2
1155130200,2.336783,2.342855,2.264283,2.271069,956036988,1011763179.6
1155216600,2.258926,2.314641,2.239283,2.288212,697832376,984159452.8
1155303000,2.258034,2.290355,2.234998,2.273212,777533896,973384347.6
1155562200,2.287498,2.329283,2.271427,2.283569,717664460,958034799.4
1155648600,2.333569,2.374998,2.314283,2.373212,861734236,951063442
1155735000,2.396427,2.431069,2.368926,2.427855,781496908,919950796.6
1155821400,2.428569,2.45214,2.399283,2.413926,581154244,850382867.8
1155907800,2.418212,2.442854,2.40214,2.425355,536362264,832596891.6
1156167000,2.402319,2.403926,2.362497,2.37714,526397388,822767313.8
1156253400,2.38089,2.439998,2.374998,2.414998,577214080,822163834.8
1156339800,2.428569,2.451783,2.390712,2.403926,536474712,804056060
1156426200,2.42464,2.435355,2.366783,2.421783,655239628,800063502.4
1156512600,2.404998,2.466069,2.403926,2.455355,544387744,792700973.6
1156771800,2.446426,2.450355,2.381426,2.39214,738231712,784957218.6
1156858200,2.392498,2.40214,2.325712,2.374283,947516464,796741736
1156944600,2.404819,2.422141,2.381426,2.391427,680271656,803208129.8
1157031000,2.402855,2.439283,2.380712,2.423212,574804732,789878212.4
1157117400,2.445712,2.451783,2.422141,2.44214,408625968,717649623
1157463000,2.463212,2.553569,2.448212,2.552855,1013191092,705504151.6
1157549400,2.538569,2.560355,2.489283,2.501069,974219532,704319504
1157635800,2.521426,2.624283,2.508926,2.599997,1268025844,719918946.8
1157722200,2.620355,2.627498,2.568212,2.589997,896099456,729832300.8
1157981400,2.586783,2.633212,2.550712,2.589283,949198708,738415541.4
1158067800,2.600355,2.623212,2.551783,2.593926,1685460564,786805346.6
1158154200,2.601783,2.654283,2.58214,2.649997,1146312632,801034266.4
1158240600,2.632855,2.666783,2.623569,2.648926,802353120,802077077
1158327000,2.666068,2.677854,2.617497,2.646426,983329620,822185845.8
1158586200,2.635712,2.673569,2.617855,2.638926,705331008,830634283
1158672600,2.646426,2.655712,2.599997,2.63464,710099524,839819389.8
1158759000,2.656426,2.702854,2.650712,2.687854,822837492,852100560.4
1158845400,2.687497,2.716426,2.643569,2.666068,794197272,864986688.4
1158931800,2.653569,2.654997,2.59214,2.60714,665377880,865493601
1159191000,2.636069,2.709283,2.632855,2.705354,859593240,881253875.8
1159277400,2.720711,2.777854,2.717855,2.771783,1110667476,899875664
1159363800,2.756069,2.766783,2.707855,2.728926,811758440,893087762.8
1159450200,2.750712,2.76714,2.712497,2.750354,723988880,895273624
1159536600,2.753926,2.768569,2.738568,2.749283,405904812,886828628
1159795800,2.682141,2.70964,2.653569,2.673569,712921032,902043381.2
1159882200,2.658926,2.676783,2.613926,2.645712,790787092,890923181.2
1159968600,2.646426,2.695069,2.612855,2.69214,838751364,884149772.8
1160055000,2.661604,2.719997,2.647497,2.672497,683941672,854945564.2
1160141400,2.657854,2.679997,2.636069,2.650712,466990036,833490093.2
1160400600,2.635712,2.681426,2.626069,2.665354,438321956,807946255.6
1160487000,2.66214,2.663569,2.609997,2.636069,531695440,750257999.4
1160573400,2.62214,2.64214,2.592855,2.615355,571859128,721535324.2
1160659800,2.644283,2.692497,2.628569,2.687854,593105104,711072923.4
1160746200,2.701069,2.745712,2.669283,2.679283,684223916,696117638.2
1161005400,2.685354,2.709997,2.671033,2.692854,508946876,686298431.6
1161091800,2.679997,2.688212,2.644283,2.653211,481079456,674847428.2
1161178200,2.66964,2.806783,2.63964,2.661783,1145310008,690971054
1161264600,2.830711,2.855354,2.791426,2.821069,1516685804,727095480.6
1161351000,2.820354,2.856783,2.80964,2.855354,639697596,725811466.4
1161610200,2.856783,2.924997,2.848211,2.909283,832645120,724464060.4
1161696600,2.900355,2.91714,2.864283,2.89464,463268440,692094108.6
1161783000,2.905355,2.928569,2.893211,2.91714,485294692,675770921.2
1161869400,2.924997,2.949997,2.897497,2.935354,432868840,661214919.2
1161955800,2.91964,2.94464,2.857497,2.871783,594964752,670667916.2
1162218600,2.856604,2.889282,2.839283,2.87214,499948784,660019303.8
1162305000,2.908926,2.91714,2.865354,2.895711,501634612,645561679.8
1162391400,2.896426,2.906426,2.798569,2.82714,612229796,634235601.4
1162477800,2.81839,2.832855,2.803569,2.820711,465527484,623314892
1162564200,2.834283,2.840354,2.778211,2.796068,431924592,621561619.8
1162823400,2.81964,2.859283,2.801068,2.846783,434709728,621381008.4
1162909800,2.873211,2.892854,2.861783,2.875354,525982092,621095341
1162996200,2.858211,2.953211,2.853211,2.94464,691312624,627068015.8
