time,open,high,low,close,Volume,Volume MA
1490011200,35.1075,35.335,35.0575,35.2675,2067944,2193841.2
1490025600,35.27,35.3725,35.215,35.37,2394852,2182226.4
1490097600,35.495,35.7,35.24,35.3625,4666352,2288030.2
1490112000,35.3675,35.3675,34.935,34.9625,6175344,2596717.4
1490126400,34.9775,34.9775,34.9725,34.9725,1200,2450992.8
1490184000,34.825,35.345,34.825,35.2775,4200568,2532342
1490198400,35.28,35.4,35.1575,35.3675,3435468,2704046.4
1490212800,35.3475,35.3475,35.3475,35.3475,400,2556776.6
1490270400,35.365,35.365,35.155,35.33,2518884,2539196.2
1490284800,35.33,35.395,35.155,35.2325,4111032,2633813.8
1490299200,35.225,35.225,35.22,35.22,1600,2528854.2
1490356800,35.3525,35.435,35.3025,35.355,2563240,2548101.8
1490371200,35.3525,35.365,35.0925,35.1825,4539436,2686802.4
1490385600,35.1875,35.2075,35.025,35.025,39624,2592447.4
1490616000,34.9025,35.1675,34.66,35.145,3530908,2536504.2
1490630400,35.1425,35.3025,35.1225,35.22,3349696,2573894.2
1490644800,35.225,35.225,35.225,35.225,800,2445287.4
1490702400,35.2325,35.685,35.16,35.6475,3641648,2523145.6
1490716800,35.6425,36.0075,35.64,35.955,5699712,2653047
1490731200,35.9575,35.9575,35.9575,35.9575,3200,2647095.4
1490788800,35.905,36.0475,35.8,35.8875,3459968,2716696.6
1490803200,35.8875,36.1225,35.88,36.0375,3729888,2783448.4
1490875200,36.03,36.125,35.9375,35.9425,2689120,2684586.8
1490889600,35.94,36.035,35.875,35.9825,2717352,2511687.2
1490961600,35.9125,36.0675,35.7625,35.96,2145264,2618890.4
1490976000,35.96,36.0275,35.8775,35.9225,2658748,2541799.4
1490990400,35.9325,35.9325,35.93,35.93,800,2370066
1491220800,35.92,36.0275,35.8075,35.8475,3033268,2521709.4
1491235200,35.8425,35.9725,35.7625,35.9175,2903960,2540963.2
1491307200,35.825,36.12,35.795,36.0675,2785964,2474709.8
1491321600,36.0675,36.2225,36.0075,36.19,2721288,2610694.2
1491336000,36.1975,36.1975,36.1975,36.1975,800,2482572.2
1491393600,35.895,36.3475,35.895,36.3025,3192408,2415220.8
1491408000,36.3,36.365,35.955,36.005,4210552,2623767.2
1491480000,36.015,36.13,35.8675,36.0175,3107668,2602605.2
1491494400,36.0225,36.105,35.865,35.9275,2847148,2577477.8
1491508800,35.905,35.9125,35.905,35.9125,1760,2577525.8
1491566400,35.93,36.0425,35.8175,35.9025,2514228,2521154.8
1491580800,35.905,36.005,35.8275,35.84,2691968,2370767.6
1491595200,35.8775,35.8775,35.8475,35.8475,4300,2370822.6
1491825600,35.9,35.9625,35.79,35.8075,2342560,2314952.2
1491840000,35.8125,35.94,35.7275,35.7925,2891580,2273036.8
1491912000,35.7875,35.8375,35.015,35.2075,4660884,2371625
1491926400,35.215,35.535,35.185,35.405,4218116,2446663.2
1491998400,35.4,35.5375,35.27,35.3375,2853200,2482060
1492012800,35.34,35.45,35.255,35.425,4816116,2589928.4
1492084800,35.485,35.595,35.39,35.545,2213796,2700578.2
1492099200,35.545,35.5475,35.265,35.2725,3873012,2742565.4
1492430400,35.3675,35.4225,35.2175,35.275,2226544,2708694.6
1492444800,35.275,35.4675,35.275,35.46,2818324,2710312.6
1492516800,35.3525,35.51,35.3025,35.3375,2380100,2693253.2
1492531200,35.3325,35.38625,35.2775,35.305,2861372,2836281.8
1492603200,35.45,35.4975,35.38,35.4475,2054884,2779405.6
1492617600,35.4475,35.45,35.115,35.165,3456372,2741696.6
1492632000,35.1825,35.1825,35.1825,35.1825,400,2586333.2
1492689600,35.3025,35.575,35.3025,35.575,3062836,2597117.6
