time,open,high,low,close
1417392000,300,370,300,370
1417478400,377,378,377,378
1417564800,377.9,378,377.01,378
1417651200,377.1,377.1,377.1,377.1
1417824000,378,378,378,378
1417996800,375.01,375.01,375,375
1418169600,398,398,360.5,360.5
1418342400,379,379,350,350
1418860800,345,345,340,340
1420675200,360,360,264.81,288.99
1421107200,260,260,260,260
1421193600,200,221,109.87,120
1421280000,191.99,224,150,204.22
1421366400,210.98,225.5,189,199.46
1421452800,210,210,184,184
1421625600,210,225.51,210,225.51
1421712000,215,218,208,218
1421798400,219,225.51,219,225.51
1421884800,245.5,257.73,216.59,226.32
1421971200,230,235,215,235
1422057600,215,250.58,215,240
1422144000,248.02,256.26,245.32,254.53
1422230400,262.78,322.72,241.43,274.48
1422316800,274.73,278.47,244.03,263.65
1422403200,263.96,265.99,228.5,236.09
1422489600,235.89,242,221.14,235.03
1422576000,235,244.59,227.89,229.07
1422662400,229,234.67,217.11,218.45
1422748800,218.67,233.79,210,228.99
1422835200,228.39,240.1,220.89,237.83
1422921600,237.01,243.9,225.32,228.58
1423008000,228.77,230.99,221.5,227.11
1423094400,227.11,228.9,215,216.76
1423180800,216.84,226.64,216.03,223.2
1423267200,223.2,230.5,222.67,229
1423353600,229.16,231.6,220,223.99
1423440000,224.01,225,216.45,221.1
1423526400,221.13,222,215,220.87
1423612800,221.07,223.61,217.46,219.81
1423699200,219.96,224.61,218,223.21
1423785600,223.2,242.36,221.55,236.49
1423872000,236.92,259.98,236.08,256.66
1423958400,256.66,267.86,228,235.54
1424044800,235.54,241,229.6,234.68
1424131200,234.41,248,233,244.82
1424217600,244.9,246,231.93,237.49
1424304000,237.49,245,235.58,240.9
1424390400,241.11,248.32,239.99,245.34
1424476800,245.34,248.43,244,245.99
1424563200,245.72,247.48,234.01,236.83
1424649600,236.83,240.97,232,239.49
1424736000,239.49,241.91,235.51,239.87
1424822400,239.87,241,235.1,238.19
1424908800,238.21,238.47,234.33,237.11
